event_id,dataset,cryptocurrency,event_date,n_tweets,combination,count,percentage
E5,W,verge,2018-05-20,3661,Happy+Surprise,5,0.13657470636438132
E5,W,verge,2018-05-20,3661,Happy+Angry,1,0.027314941272876262
E5,W,verge,2018-05-20,3661,Surprise+Sad,1,0.027314941272876262
E5,W,verge,2018-05-20,3661,Angry+Surprise,3,0.08194482381862879
E5,A,verge,2018-05-20,685,Fear,263,38.394160583941606
E5,A,verge,2018-05-20,685,Surprise,19,2.7737226277372264
E5,A,verge,2018-05-20,685,None,238,34.74452554744526
E5,A,verge,2018-05-20,685,Angry,63,9.197080291970803
E5,A,verge,2018-05-20,685,Sad,47,6.861313868613139
E5,A,verge,2018-05-20,685,Surprise+Fear,8,1.167883211678832
E5,A,verge,2018-05-20,685,Angry+Fear,3,0.43795620437956206
E5,A,verge,2018-05-20,685,Sad+Fear,8,1.167883211678832
E5,A,verge,2018-05-20,685,Happy,29,4.233576642335766
E5,A,verge,2018-05-20,685,Happy+Fear,2,0.291970802919708
E5,A,verge,2018-05-20,685,Happy+Sad,2,0.291970802919708
E5,A,verge,2018-05-20,685,Angry+Surprise,3,0.43795620437956206
E5,B,verge,2018-05-20,4030,None,1538,38.16377171215881
E5,B,verge,2018-05-20,4030,Sad,434,10.76923076923077
E5,B,verge,2018-05-20,4030,Surprise,418,10.372208436724566
E5,B,verge,2018-05-20,4030,Fear,1075,26.674937965260547
E5,B,verge,2018-05-20,4030,Happy,337,8.36228287841191
E5,B,verge,2018-05-20,4030,Angry+Fear,10,0.24813895781637718
E5,B,verge,2018-05-20,4030,Surprise+Fear,32,0.794044665012407
E5,B,verge,2018-05-20,4030,Happy+Fear,50,1.2406947890818858
E5,B,verge,2018-05-20,4030,Angry,43,1.066997518610422
E5,B,verge,2018-05-20,4030,Happy+Surprise,17,0.4218362282878412
E5,B,verge,2018-05-20,4030,Sad+Fear,58,1.4392059553349876
E5,B,verge,2018-05-20,4030,Happy+Sad,15,0.37220843672456577
E5,B,verge,2018-05-20,4030,Angry+Sad,1,0.02481389578163772
E5,B,verge,2018-05-20,4030,Surprise+Sad,2,0.04962779156327544
E6,W,litecoin_cash,2018-05-29,842,Sad,30,3.5629453681710213
E6,W,litecoin_cash,2018-05-29,842,None,203,24.109263657957246
E6,W,litecoin_cash,2018-05-29,842,Fear,468,55.581947743467936
E6,W,litecoin_cash,2018-05-29,842,Happy+Fear,6,0.7125890736342043
E6,W,litecoin_cash,2018-05-29,842,Sad+Fear,4,0.4750593824228028
E6,W,litecoin_cash,2018-05-29,842,Happy,43,5.10688836104513
E6,W,litecoin_cash,2018-05-29,842,Happy+Sad,2,0.2375296912114014
E6,W,litecoin_cash,2018-05-29,842,Surprise,78,9.263657957244655
E6,W,litecoin_cash,2018-05-29,842,Angry,1,0.1187648456057007
E6,W,litecoin_cash,2018-05-29,842,Surprise+Fear,5,0.5938242280285035
E6,W,litecoin_cash,2018-05-29,842,Happy+Surprise,1,0.1187648456057007
E6,W,litecoin_cash,2018-05-29,842,Surprise+Sad,1,0.1187648456057007
E6,A,litecoin_cash,2018-05-29,28,None,21,75.0
E6,A,litecoin_cash,2018-05-29,28,Surprise,2,7.142857142857143
E6,A,litecoin_cash,2018-05-29,28,Fear,5,17.857142857142858
E6,B,litecoin_cash,2018-05-29,1338,None,355,26.532137518684603
E6,B,litecoin_cash,2018-05-29,1338,Surprise,102,7.623318385650224
E6,B,litecoin_cash,2018-05-29,1338,Fear,743,55.530642750373694
E6,B,litecoin_cash,2018-05-29,1338,Sad,66,4.932735426008969
E6,B,litecoin_cash,2018-05-29,1338,Surprise+Fear,7,0.523168908819133
E6,B,litecoin_cash,2018-05-29,1338,Happy,38,2.8400597907324365
E6,B,litecoin_cash,2018-05-29,1338,Sad+Fear,8,0.5979073243647235
E6,B,litecoin_cash,2018-05-29,1338,Angry,8,0.5979073243647235
E6,B,litecoin_cash,2018-05-29,1338,Happy+Fear,7,0.523168908819133
E6,B,litecoin_cash,2018-05-29,1338,Happy+Surprise,1,0.07473841554559044
E6,B,litecoin_cash,2018-05-29,1338,Happy+Sad,1,0.07473841554559044
E6,B,litecoin_cash,2018-05-29,1338,Surprise+Sad,1,0.07473841554559044
E6,B,litecoin_cash,2018-05-29,1338,Angry+Fear,1,0.07473841554559044
E7,W,vertcoin,2018-10-11,1596,None,588,36.8421052631579
E7,W,vertcoin,2018-10-11,1596,Sad,185,11.591478696741854
E7,W,vertcoin,2018-10-11,1596,Fear,463,29.01002506265664
E7,W,vertcoin,2018-10-11,1596,Happy,96,6.015037593984962
E7,W,vertcoin,2018-10-11,1596,Surprise,150,9.398496240601503
E7,W,vertcoin,2018-10-11,1596,Sad+Fear,23,1.4411027568922306
E7,W,vertcoin,2018-10-11,1596,Angry,33,2.0676691729323307
E7,W,vertcoin,2018-10-11,1596,Surprise+Fear,9,0.5639097744360902
E7,W,vertcoin,2018-10-11,1596,Happy+Fear,28,1.7543859649122806
E7,W,vertcoin,2018-10-11,1596,Angry+Sad,2,0.12531328320802004
E7,W,vertcoin,2018-10-11,1596,Angry+Fear,10,0.6265664160401002
E7,W,vertcoin,2018-10-11,1596,Angry+Surprise,5,0.3132832080200501
E7,W,vertcoin,2018-10-11,1596,Happy+Sad,2,0.12531328320802004
E7,W,vertcoin,2018-10-11,1596,Happy+Angry,1,0.06265664160401002
E7,W,vertcoin,2018-10-11,1596,Happy+Surprise,1,0.06265664160401002
E7,A,vertcoin,2018-10-11,382,Sad,69,18.06282722513089
E7,A,vertcoin,2018-10-11,382,Fear,143,37.43455497382199
E7,A,vertcoin,2018-10-11,382,None,85,22.25130890052356
E7,A,vertcoin,2018-10-11,382,Surprise,49,12.827225130890053
E7,A,vertcoin,2018-10-11,382,Sad+Fear,3,0.7853403141361257
E7,A,vertcoin,2018-10-11,382,Angry,14,3.6649214659685865
E7,A,vertcoin,2018-10-11,382,Surprise+Fear,3,0.7853403141361257
E7,A,vertcoin,2018-10-11,382,Angry+Sad,2,0.5235602094240838
E7,A,vertcoin,2018-10-11,382,Angry+Fear,5,1.3089005235602094
E7,A,vertcoin,2018-10-11,382,Angry+Surprise,5,1.3089005235602094
E7,A,vertcoin,2018-10-11,382,Happy,1,0.2617801047120419
E7,A,vertcoin,2018-10-11,382,Happy+Fear,2,0.5235602094240838
