event_id,dataset,cryptocurrency,event_date,n_tweets,emotion,mean_probability
E15,W,ethereum_classic,2020-08-28,1121,Fear,0.438823157095622
E15,A,ethereum_classic,2020-08-28,706,Happy,0.06070175247725954
E15,A,ethereum_classic,2020-08-28,706,Angry,0.3524389620289924
E15,A,ethereum_classic,2020-08-28,706,Surprise,0.2993342466124732
E15,A,ethereum_classic,2020-08-28,706,Sad,0.336409951446752
E15,A,ethereum_classic,2020-08-28,706,Fear,0.37513378980139495
E15,B,ethereum_classic,2020-08-28,172,Happy,0.2104682728301647
E15,B,ethereum_classic,2020-08-28,172,Angry,0.10498273199380831
E15,B,ethereum_classic,2020-08-28,172,Surprise,0.20351032600846403
E15,B,ethereum_classic,2020-08-28,172,Sad,0.2984944970108742
E15,B,ethereum_classic,2020-08-28,172,Fear,0.5178990364074707
E16,W,bitcoin_sv,2021-06-23,2173,Happy,0.20342037472591057
E16,W,bitcoin_sv,2021-06-23,2173,Angry,0.14086457424541252
E16,W,bitcoin_sv,2021-06-23,2173,Surprise,0.29929923177368895
E16,W,bitcoin_sv,2021-06-23,2173,Sad,0.3443369509929125
E16,W,bitcoin_sv,2021-06-23,2173,Fear,0.4541670403829435
E16,A,bitcoin_sv,2021-06-23,96,Happy,0.11295852437615395
E16,A,bitcoin_sv,2021-06-23,96,Angry,0.10694817453622818
E16,A,bitcoin_sv,2021-06-23,96,Surprise,0.24072501560052237
E16,A,bitcoin_sv,2021-06-23,96,Sad,0.24270971616109213
E16,A,bitcoin_sv,2021-06-23,96,Fear,0.7539053757985433
E16,B,bitcoin_sv,2021-06-23,1625,Happy,0.21150194490872898
E16,B,bitcoin_sv,2021-06-23,1625,Angry,0.1238258240039532
E16,B,bitcoin_sv,2021-06-23,1625,Surprise,0.269940246288593
E16,B,bitcoin_sv,2021-06-23,1625,Sad,0.3052342720031738
E16,B,bitcoin_sv,2021-06-23,1625,Fear,0.4150954026442308
E17,W,bitcoin_sv,2021-08-02,1137,Happy,0.13871112630990062
E17,W,bitcoin_sv,2021-08-02,1137,Angry,0.18730103455831215
E17,W,bitcoin_sv,2021-08-02,1137,Surprise,0.2928311447354923
E17,W,bitcoin_sv,2021-08-02,1137,Sad,0.30638155941388645
E17,W,bitcoin_sv,2021-08-02,1137,Fear,0.45572121476749633
E17,A,bitcoin_sv,2021-08-02,524,Happy,0.05622456319459522
E17,A,bitcoin_sv,2021-08-02,524,Angry,0.27662675617305377
E17,A,bitcoin_sv,2021-08-02,524,Surprise,0.3456498584674515
E17,A,bitcoin_sv,2021-08-02,524,Sad,0.3730246879672276
E17,A,bitcoin_sv,2021-08-02,524,Fear,0.5189788250522759
E17,B,bitcoin_sv,2021-08-02,763,Happy,0.2706175144190557
E17,B,bitcoin_sv,2021-08-02,763,Angry,0.12646137465030774
E17,B,bitcoin_sv,2021-08-02,763,Surprise,0.25376529243639223
E17,B,bitcoin_sv,2021-08-02,763,Sad,0.3416294589111408
E17,B,bitcoin_sv,2021-08-02,763,Fear,0.37401104223368836
